transaction_id,user_id,amount,timestamp,location,device,category,is_fraud,fraud_type,scenario_id,scenario_name
TXN_S5_003,U_MICRO_01,1.26,1742013030,NYC,mobile,digital_goods,True,velocity,5,Micro-Transaction Testing
TXN_S5_004,U_MICRO_01,1.39,1742013045,NYC,mobile,digital_goods,True,velocity,5,Micro-Transaction Testing
TXN_S5_005,U_MICRO_01,1.52,1742013060,NYC,mobile,digital_goods,True,velocity,5,Micro-Transaction Testing
TXN_S5_006,U_MICRO_01,1.65,1742013075,NYC,mobile,digital_goods,True,velocity,5,Micro-Transaction Testing
TXN_S5_007,U_MICRO_01,1.78,1742013090,NYC,mobile,digital_goods,True,velocity,5,Micro-Transaction Testing
TXN_S5_008,U_MICRO_01,1.91,1742013105,NYC,mobile,digital_goods,True,velocity,5,Micro-Transaction Testing
TXN_S6_001,U_LEGIT_01,245.0,1742013000,NYC,desktop,electronics,False,,6,Legitimate High-Value
TXN_S6_002,U_LEGIT_01,312.5,1742020200,NYC,desktop,clothing,False,,6,Legitimate High-Value
TXN_S6_003,U_LEGIT_01,189.99,1742027400,NYC,desktop,electronics,False,,6,Legitimate High-Value
TXN_S6_004,U_LEGIT_01,275.0,1742034600,NYC,desktop,jewelry,False,,6,Legitimate High-Value
TXN_S7_001,U_MIX_A,35.0,1742013000,LA,mobile,grocery,False,,7,Mixed Batch
TXN_S7_002,U_MIX_A,42.5,1742016600,LA,mobile,gas,False,,7,Mixed Batch
TXN_S7_003,U_MIX_A,28.0,1742020200,LA,mobile,restaurant,False,,7,Mixed Batch
TXN_S7_004,U_MIX_B,55.0,1742013000,Chicago,mobile,electronics,True,velocity,7,Mixed Batch
TXN_S7_005,U_MIX_B,48.0,1742013030,Chicago,mobile,electronics,True,velocity,7,Mixed Batch
TXN_S7_006,U_MIX_B,62.0,1742013065,Chicago,mobile,clothing,True,velocity,7,Mixed Batch
TXN_S7_007,U_MIX_C,15.0,1742014000,Houston,mobile,pharmacy,False,,7,Mixed Batch
TXN_S7_008,U_MIX_C,22.0,1742018000,Houston,mobile,grocery,False,,7,Mixed Batch
TXN_S7_009,U_MIX_C,18.5,1742022000,Houston,mobile,restaurant,False,,7,Mixed Batch
TXN_S7_010,U_MIX_D,20.0,1742013000,Phoenix,mobile,gas,False,,7,Mixed Batch
TXN_S7_011,U_MIX_D,25.0,1742016600,Phoenix,mobile,grocery,False,,7,Mixed Batch
TXN_S7_012,U_MIX_D,18.0,1742020200,Phoenix,mobile,restaurant,False,,7,Mixed Batch
TXN_S7_013,U_MIX_D,550.0,1742023800,Phoenix,desktop,jewelry,True,amount_anomaly,7,Mixed Batch
TXN_S7_014,U_MIX_E,120.0,1742015000,NYC,desktop,electronics,False,,7,Mixed Batch
TXN_S7_015,U_MIX_E,95.0,1742019000,NYC,desktop,clothing,False,,7,Mixed Batch
TXN_S8_001,U_XBORDER_01,75.0,1742013000,London,mobile,restaurant,False,,8,Cross-Border Rapid
TXN_S8_002,U_XBORDER_01,120.0,1742013300,Paris,mobile,electronics,True,geographic,8,Cross-Border Rapid
TXN_S8_003,U_XBORDER_01,89.5,1742013600,Tokyo,desktop,electronics,True,geographic,8,Cross-Border Rapid
TXN_S8_004,U_XBORDER_01,200.0,1742014200,Sydney,desktop,gift_cards,True,geographic,8,Cross-Border Rapid
TXN_S8_005,U_XBORDER_01,150.0,1742014800,Sydney,desktop,electronics,True,geographic,8,Cross-Border Rapid
